seed,execution_duration_s,route_completion_pct,mission_completion_pct,final_soc_pct,propulsion_energy_wh,thermal_encounters,thermalling_time_s,thermal_alt_gain_m,total_events,total_hp_events,hp_detected_count,hp_investigated_count,hp_expired_count,hp_unresolved_count,hp_detected_pct,hp_investigated_pct,hp_expired_pct,hp_unresolved_pct,all_detected_pct,mean_hp_investigation_latency_s,landing_entry_pct,landing_completion_pct,valid_termination_pct,fsm_transitions,fsm_transitions_per_min,fsm_rejected_transitions,landings,landings_entered,process_failures,mavlink_timeouts
42,716.0908031463623,66.36904761904762,83.33333333333334,15.139365196228027,21.050335445965175,2.0,155.93828201293945,229.87665557861328,40,15,4,4,11,0,26.666666666666668,26.666666666666668,73.33333333333333,0.0,27.5,0.13100004196166992,16.666666666666664,0.0,83.33333333333334,23.0,0.3212060964712925,0.0,0,1,0,0
43,714.9805363019308,52.38095238095238,100.0,23.148770491282146,18.437950154970167,10.0,944.9529831409454,197.28974215189615,44,18,4,4,13,1,22.22222222222222,22.22222222222222,72.22222222222223,5.555555555555555,25.0,11.911541998386383,0.0,0.0,100.0,37.0,0.517911162260222,0.0,0,0,0,0
44,714.9860838254293,62.55952380952382,83.33333333333334,17.32338523864746,19.870883310388308,7.0,348.12061381340027,108.08734130859375,40,14,4,4,10,0,28.571428571428573,28.571428571428573,71.42857142857143,0.0,27.5,0.15700000524520874,16.666666666666664,0.0,83.33333333333334,36.0,0.5031046441287023,0.0,0,1,0,0
45,714.8014471928278,69.04761904761905,100.0,25.31804879506429,17.917820082220715,9.0,866.9280259609222,147.30805409749348,66,25,5,5,15,5,20.0,20.0,60.0,20.0,24.242424242424242,26.780448579788207,0.0,0.0,100.0,39.0,0.5454484828757987,34.0,0,0,0,0
46,717.026044845581,37.797619047619044,50.0,13.427483797073364,20.77058886969462,9.0,743.5474762916565,123.91087214152017,48,18,6,6,11,1,33.333333333333336,33.333333333333336,61.111111111111114,5.555555555555555,20.833333333333332,1.5628821452458699,50.0,0.0,50.0,61.0,0.8506719089731929,0.0,0,3,0,0
47,713.8930494785309,68.09523809523809,83.33333333333334,22.153449773788452,18.677708989416715,6.0,577.6091830730438,191.44830627441405,50,17,6,5,12,0,35.294117647058826,29.41176470588235,70.58823529411765,0.0,32.0,0.14000000953674316,16.666666666666664,0.0,83.33333333333334,34.0,0.4765643946560288,0.0,0,1,0,0
48,713.0457733472189,41.42857142857143,83.33333333333334,21.81222979227702,19.093351005518343,22.0,1018.6296615600586,124.44005807240804,52,22,4,3,15,4,18.181818181818183,13.636363636363637,68.18181818181819,18.181818181818183,15.384615384615385,0.748823324839274,16.666666666666664,0.0,83.33333333333334,69.0,0.9659039812830702,8.0,0,1,0,0
49,713.8788047631582,57.142857142857146,100.0,28.135037740071613,17.239250908605754,14.0,933.3010549545288,144.26732238769532,54,26,6,6,17,3,23.076923076923077,23.076923076923077,65.38461538461539,11.538461538461538,22.22222222222222,0.14599986871083578,0.0,0.0,100.0,52.0,0.7276105759005698,16.0,0,0,0,0
50,714.6145397027334,71.42857142857143,100.0,30.469523906707764,16.68087764066877,6.0,694.8934247493744,214.02368927001953,40,18,5,4,12,2,27.77777777777778,22.22222222222222,66.66666666666667,11.11111111111111,40.0,0.1419999599456787,0.0,0.0,100.0,30.0,0.41900877901178535,51.0,0,0,0,0
51,716.5967887242635,35.416666666666664,83.33333333333334,19.704697720706463,19.26328327495139,17.0,964.7462010383606,137.02171512179905,52,20,5,4,15,1,25.0,20.0,75.0,5.0,32.69230769230769,4.311759948730469,16.666666666666664,0.0,83.33333333333334,66.0,0.9214784671429822,62.0,0,1,0,0
52,713.3599844773611,73.51190476190476,100.0,21.358853499094646,18.867029882152565,3.0,157.68897819519043,138.05169169108072,52,16,7,6,9,1,43.75,37.5,56.25,6.25,38.46153846153846,0.13606178760528564,0.0,0.0,100.0,32.0,0.44802074885873083,0.0,0,0,0,0
53,711.9517340262731,47.32142857142858,83.33333333333334,19.709795902172726,19.263927823631093,9.0,853.5466721057892,139.8094253540039,47,16,5,4,12,0,31.25,25.0,75.0,0.0,34.04255319148936,0.8764705061912537,16.666666666666664,0.0,83.33333333333334,38.0,0.5339011702814976,4.0,0,1,0,0
54,710.3396153052648,59.22619047619048,100.0,21.544172604878742,18.825081188522745,4.0,371.41825580596924,206.11033121744794,60,22,12,10,10,2,54.54545454545455,45.45454545454545,45.45454545454545,9.090909090909092,31.666666666666668,5.374829697608948,0.0,0.0,100.0,45.0,0.6314817181756753,180.0,0,0,0,0
55,715.5496278603872,37.797619047619044,100.0,23.158535957336426,18.43517812821665,10.0,1062.5072813034058,171.56614049275717,40,11,4,3,8,0,36.36363636363637,27.272727272727273,72.72727272727273,0.0,22.5,0.7080000241597494,0.0,0.0,100.0,48.0,0.6707332811476645,65.0,0,0,0,0
56,713.0837693214417,33.035714285714285,50.0,9.515394846598307,22.778820487103076,8.0,482.61972522735596,88.4959815979004,54,23,8,6,15,2,34.78260869565217,26.08695652173913,65.21739130434783,8.695652173913043,33.333333333333336,7.029770533243815,50.0,0.0,50.0,55.0,0.771320010088679,0.0,0,3,0,0
57,713.2764649788538,30.952380952380953,66.66666666666666,18.025115648905437,20.19720741463243,12.0,1122.6226425170898,142.7727771335178,40,15,4,4,9,2,26.666666666666668,26.666666666666668,60.0,13.333333333333334,27.5,0.17306822538375854,33.33333333333333,0.0,66.66666666666666,54.0,0.7557667054504172,0.0,0,2,0,0
58,714.30997244517,61.607142857142854,100.0,24.88518699010213,18.02139929201803,9.0,603.3411140441895,79.37233327229816,50,21,6,6,12,3,28.571428571428573,28.571428571428573,57.142857142857146,14.285714285714286,34.0,11.869495193163553,0.0,0.0,100.0,44.0,0.6171965245024625,52.0,0,0,0,0
59,714.0226496458054,54.464285714285715,83.33333333333334,16.741467316945393,20.360510121565312,8.0,501.9368999004364,157.16380666097004,48,21,6,4,16,1,28.571428571428573,19.047619047619047,76.19047619047619,4.761904761904762,35.416666666666664,0.13799995183944702,16.666666666666664,0.0,83.33333333333334,56.0,0.7844918641487365,94.0,0,1,0,0
60,713.461989680926,61.607142857142854,66.66666666666666,18.173474391301472,19.656547481019516,4.0,575.1039383411407,236.80170059204102,39,11,3,3,8,0,27.272727272727273,27.272727272727273,72.72727272727273,0.0,28.205128205128204,0.14133334159851074,33.33333333333333,0.0,66.66666666666666,32.0,0.4490766062345137,0.0,0,2,0,0
61,715.6316525141398,54.76190476190476,100.0,27.29778464635213,17.441282011612202,15.0,1157.504626750946,109.8967269897461,41,16,3,3,11,2,18.75,18.75,68.75,12.5,31.70731707317073,0.1773353417714437,0.0,0.0,100.0,47.0,0.6566664141942468,0.0,0,0,0,0
