metric,mean,std,median,min,max,ci95_halfwidth,n_valid
execution_duration_s,714.2450665791829,1.5857445112788477,714.1663110454876,710.3396153052648,717.026044845581,0.6949831743446703,20
route_completion_pct,53.79761904761905,13.640253308623986,55.95238095238095,30.952380952380953,73.51190476190476,5.978104591166331,20
mission_completion_pct,85.83333333333334,16.468115569468072,83.33333333333334,50.0,100.0,7.217469871432041,20
final_soc_pct,20.8520887127767,5.1332629127042075,21.451513051986694,9.515394846598307,30.469523906707764,2.2497516645602946,20
propulsion_energy_wh,19.142451675643677,1.444736079568478,18.980190443835454,16.68087764066877,22.778820487103076,0.6331835043584857,20
thermal_encounters,9.2,4.937504163888983,9.0,2.0,22.0,2.163956610130229,20
thermalling_time_s,706.8478520393371,308.314512168174,719.2204505205154,155.93828201293945,1157.504626750946,135.12479270091373,20
thermal_alt_gain_m,154.3857335703108,45.43678170951613,143.52004976060655,79.37233327229816,236.80170059204102,19.913547585934246,20
total_events,47.85,7.478213971967259,48.0,39.0,66.0,3.277471779155069,20
total_hp_events,18.25,4.203695116392119,18.0,11.0,26.0,1.8423506152395868,20
hp_detected_count,5.35,2.0332758116683993,5.0,3.0,12.0,0.8911224146517337,20
hp_investigated_count,4.7,1.6575187543592476,4.0,3.0,10.0,0.7264396233106984,20
hp_expired_count,12.05,2.704285098641939,12.0,8.0,17.0,1.1852052009762075,20
hp_unresolved_count,1.5,1.4327007988227578,1.0,0.0,5.0,0.6279088100068436,20
hp_detected_pct,29.532411908211138,8.680332503073192,28.174603174603178,18.181818181818183,54.54545454545455,3.8043234546578213,20
hp_investigated_pct,26.038179762124777,7.098272229735821,26.3768115942029,13.636363636363637,45.45454545454545,3.1109549687837066,20
hp_expired_pct,66.6688194584614,7.932988408205467,68.4659090909091,45.45454545454545,76.19047619047619,3.4767854637111935,20
hp_unresolved_pct,7.293000779413822,6.3587868220074055,5.902777777777778,0.0,20.0,2.786861199333929,20
all_detected_pct,29.210405323644817,6.254958492465064,29.935897435897438,15.384615384615385,40.0,2.7413564275759317,20
mean_hp_investigation_latency_s,3.6327910242478056,6.638845525372179,0.44266768296559655,0.13100004196166992,26.780448579788207,2.9096023378230895,20
landing_entry_pct,14.166666666666663,16.468115569468072,16.666666666666664,0.0,50.0,7.217469871432041,20
landing_completion_pct,0.0,0.0,0.0,0.0,0.0,0.0,20
valid_termination_pct,85.83333333333334,16.468115569468072,83.33333333333334,50.0,100.0,7.217469871432041,20
fsm_transitions,44.9,12.640369748089691,44.5,23.0,69.0,5.539886299422246,20
fsm_transitions_per_min,0.6283781767893133,0.17658585499070092,0.624339121339069,0.3212060964712925,0.9659039812830702,0.07739216322232904,20
fsm_rejected_transitions,28.3,45.93141339913355,2.0,0.0,180.0,20.130329481969028,20
landings,0.0,0.0,0.0,0.0,0.0,0.0,20
landings_entered,0.85,0.9880869341680844,1.0,0.0,3.0,0.4330481922859224,20
process_failures,0.0,0.0,0.0,0.0,0.0,0.0,20
mavlink_timeouts,0.0,0.0,0.0,0.0,0.0,0.0,20
