uav_id,px4_instance,mav_sys_id,uxrce_dds_key,ros2_namespace,jsbsim_tcp_port,mavsdk_offboard_remote_port,gcs_remote_port,gcs_local_port,offboard_local_port,mavsdk_grpc_port,xrce_agent_port
1,1,2,2,px4_1,4561,14641,14551,18571,14581,50051,8889
2,2,3,3,px4_2,4562,14642,14552,18572,14582,50052,8889
3,3,4,4,px4_3,4563,14643,14553,18573,14583,50053,8889
4,4,5,5,px4_4,4564,14644,14554,18574,14584,50054,8889
5,5,6,6,px4_5,4565,14645,14555,18575,14585,50055,8889
6,6,7,7,px4_6,4566,14646,14556,18576,14586,50056,8889
7,7,8,8,px4_7,4567,14647,14557,18577,14587,50057,8889
8,8,9,9,px4_8,4568,14648,14558,18578,14588,50058,8889
9,9,10,10,px4_9,4569,14649,14559,18579,14589,50059,8889
10,10,11,11,px4_10,4570,14650,14560,18580,14590,50060,8889
11,11,12,12,px4_11,4571,14651,14561,18581,14591,50061,8889
12,12,13,13,px4_12,4572,14652,14562,18582,14592,50062,8889
13,13,14,14,px4_13,4573,14653,14563,18583,14593,50063,8889
14,14,15,15,px4_14,4574,14654,14564,18584,14594,50064,8889
15,15,16,16,px4_15,4575,14655,14565,18585,14595,50065,8889
16,16,17,17,px4_16,4576,14656,14566,18586,14596,50066,8889
17,17,18,18,px4_17,4577,14657,14567,18587,14597,50067,8889
18,18,19,19,px4_18,4578,14658,14568,18588,14598,50068,8889
19,19,20,20,px4_19,4579,14659,14569,18589,14599,50069,8889
20,20,21,21,px4_20,4580,14660,14570,18590,14600,50070,8889
21,21,22,22,px4_21,4581,14661,14571,18591,14601,50071,8889
22,22,23,23,px4_22,4582,14662,14572,18592,14602,50072,8889
23,23,24,24,px4_23,4583,14663,14573,18593,14603,50073,8889
24,24,25,25,px4_24,4584,14664,14574,18594,14604,50074,8889
