gate,name,passed,detail
1,no negative execution duration,True,
2,no missing UAV IDs,True,
3,no missing timestamps,True,
4,no duplicate ROS 2 namespace assignments,True,
5,no missing event-state labels,True,
6,thermal segments have entry/exit labels,True,
7,SOC column present,True,
8,"SOC within [0, 100]",True,
9,no synthetic fallback (provenance for every table),True,
10,every plotted value backed by a CSV from raw logs,True,
11,every figure has PNG and PDF,True,
12,all tables present as CSV,True,
13,old results PDF archived/deleted,True,
14,no duplicate MAVLink system IDs,True,
15,no UDP port collisions,True,
16,no duplicate DDS client keys,True,
17,no duplicate ROS 2 namespaces,True,
18,route distance validates to 23.3 km,True,selected route = 23.29 km (target 23.3 +/- 0.5)
19,exclusions correctly classified (run vs uav-record),True,
20,all requested UAVs in scalability denominators,True,
21,baseline seeds matched (>=5 paired),True,
22,event lifecycle temporally valid,True,
